id,damana,espanol,estado,fuente
lfb_MLY_p004_s014,Ima zhinzhoma kʉnʉnka kʉnkua 14 zhinzhomamburru. Kʉskʉnangui kʉnkua angogumantka nuka ima zhinzhomanzhe naimashe uka unguazingʉma ñingui bʉgui anzhʉngandzina shindza aunkurra.,"El libro está dividido en 14 secciones. Al principio de cada una, hay un resumen de algunas de las lecciones que podemos aprender.",aprobado,lfb oraciones
lfb_MLY_p005_s001,"Ma gʉmtshina mʉkawa nʉnerru ijkʉnawin asheshisha mawazhʉnga shkua capítulo, ingui nʉnzhú nazhi guaka awega shetamorrandzinangua.","Si usted tiene hijos, puede leer un capítulo con ellos, y juntos comentar las ilustraciones.",aprobado,lfb oraciones
lfb_MLY_p005_s002,"Awemdzi, asheshisha maunkua Bibliamba zhana capítulo.","Luego, pueden leer el pasaje bíblico en el que se basa el capítulo.",aprobado,lfb oraciones
lfb_MLY_p005_s003,Anguneka ushi manzhe gʉmtshina tua awega ñi guaka ima zhinzhomaga Bibliamba zhana ingui uguana ñi ñingui zukuega shikʉndza awantka.,Ayude a su hijo a ver la relación que hay entre lo que lee en la Biblia y las lecciones que enseña cada capítulo del libro.,aprobado,lfb oraciones
lfb_MLY_p005_s004,Ima zhinzhomagangua anguneka awazhʉnga shkandzinaga kagʉntuna awega bunguingʉma zukuega Biblianzhe.,Se puede usar el mismo método para ayudar a un adulto a tener una idea general del mensaje de la Biblia.,aprobado,lfb oraciones
lfb_MLY_p005_s005,"Nainduna ima zhinzhomaga anguneka awega shkandzina duawiga zukuega kʉnʉnkandzina, gʉmtshinamburru, kuimandzina, menandzina ingui terruandzinangua, shindza mawazhʉngua Kunkujshinanzhe bunguingʉma, neka awega ñingui zukuega shindza awamkua.","Deseamos que esta publicación ayude a las personas de buen corazón, tanto jóvenes como mayores, a aprender de la Palabra de Dios y aplicar sus lecciones en la vida.",aprobado,lfb oraciones
lfb_MLY_p005_s006,Memé dzinekuwerru Jehová kʉnduna dzawazhʉnga awerru Jehovánzhe kawa dzineka awʉnka.,Así ellos también podrán adorar a Jehová y ser miembros de su amada familia.,aprobado,lfb oraciones
lfb_MLY_p005_s008,"Ima maikungasha mawinzhe kawandzinaga, Tʉnandzinaga dumatuka kʉngui Jehová ingegua shizhakʉndzigandzina","Sus hermanos, Cuerpo Gobernante de los Testigos de Jehová",aprobado,lfb oraciones
lfb_MLY_p008_s001,Bibliaga naiguiumpana uka ñingui zukuega nekantka Kunkujshina katshijkiamaka ingui kangʉmamba.,"La Biblia comienza con el relato de la creación física, que nos habla de las cosas tan bonitas que Jehová hizo en el cielo y en la Tierra.",aprobado,lfb oraciones
lfb_MLY_p008_s002,"Gʉmtshina mʉkawa nʉnerru, anguneka ushi tua awega bʉgui anzhʉnga nʉnka kʉ Kunkujshinaga go awantka.","Si usted tiene hijos, ayúdelos a valorar la sorprendente variedad que existe en la creación.",aprobado,lfb oraciones
lfb_MLY_p008_s003,"Uguia ushi Kunkujshinaga go awantka shka agʉñi anzhʉnga zhigawigandzina guashinguʉn, shkandzinarru asheka nʉname, uguana, ñingui dzingoga, zhamaia ingui Kunkujshinawin dzasheka nʉname, anguneka ushi manzhe gʉmtshinandzina tshijtua awega ia Jehová dʉma kʉnʉnka ingui naka kʉ gʉntshujkuaga nʉnka, agʉñi kinki, naka ugunga kʉ go awantka, ingui nawingua naigunga nʉnka.","Resalte que Jehová creó a los seres humanos muy superiores a los animales, con la capacidad de conversar, razonar, inventar cosas, cantar y orar. Ayude a sus hijos a darse cuenta del poder y la sabiduría de Jehová y, sobre todo, del amor que siente por lo que ha creado, incluyendo a cada uno de nosotros.",aprobado,lfb oraciones
lfb_MLY_p009_s001,SHIZHAKʉNDZIGA BʉGUI ANZHʉNGANDZINA ˛ Jehová anzhʉngʉmawin kangʉma dzingo awantka nawinzhe urragaie nanega.,LECCIONES IMPORTANTES˛ Jehová y su Hijo hicieron la Tierra para que fuera nuestro hogar.,aprobado,lfb oraciones
lfb_MLY_p009_s003,˛ Jehovága go awantka kawandzina terrua menawin go ukuashkʉ gʉmtshina kakʉnana awega.,˛ Jehová creó la familia cuando hizo al hombre y a la mujer y les dio,aprobado,lfb oraciones
lfb_MLY_p009_s004,˛ Jehovága anduna shkandzina kuazhá nukuega zen zhigaguazhi ingui nʉnzhú nazhi.,˛ El propósito de Jehová es que los humanos vivan para siempre,aprobado,lfb oraciones
lfb_MLY_p010_s001,Kunkujshinaga go katshijkiama ingui kangʉma,Dios hace el cielo y la Tierra,aprobado,lfb oraciones
lfb_MLY_p010_s002,Jehová Kunkujshina naingontka.,Jehová Dios es nuestro Creador.,aprobado,lfb oraciones
lfb_MLY_p010_s003,"Naka kʉ ñingui gontka, ñingui tua ukurra ingui tún nunkurrawin.",Él hizo todas las cosas: las que vemos y las que no vemos.,aprobado,lfb oraciones
lfb_MLY_p010_s004,Ñingui tua ukurrandzina gawuʉn nukuashkʉ minshangui bʉgui ángelndzina go awantka.,"Antes de hacer las cosas que vemos, él creó muchísimos ángeles.",aprobado,lfb oraciones
lfb_MLY_p010_s005,¿Mʉgʉntsha nene nʉnka ángelndzina?,¿Sabes quiénes son los ángeles?,aprobado,lfb oraciones
lfb_MLY_p010_s006,Ángelndzina Jehovága gontka naie kʉnzhʉngandzina. Nawiga Jehová tún nanazhingurra ñi ángelndzinangua.,Son seres que Jehová hizo y que se parecen mucho a él. Nosotros no podemos ver a Jehová ni tampoco podemos ver a los ángeles.,aprobado,lfb oraciones
lfb_MLY_p010_s007,Kʉskʉna ángel Jehovága go ukua na angunekega.,El primer ángel que Jehová creó fue su ayudante.,aprobado,lfb oraciones
lfb_MLY_p010_s008,Naka anguneka awantka Jehová ñingui kʉ go awega.,"Él ayudó a Jehová a hacer las estrellas, los planetas y las demás cosas.",aprobado,lfb oraciones
lfb_MLY_p010_s009,Nawi kuagurra ingui kangʉma zukuegamba.,"Nosotros vivimos en uno de esos planetas, nuestra hermosaTierra.",aprobado,lfb oraciones
lfb_MLY_p010_s010,"Ukuemdzi, Jehovága kangʉma shango awantka zhigawigandzina ingui shkandzinangua tshijkuaiega.","Después, Jehová preparó la Tierra para que los animales y la gente pudieran vivir en ella.",aprobado,lfb oraciones
lfb_MLY_p010_s011,Go awantka dzui kangʉmamba bo zhakujtshega.,Hizo que la luz del sol brillara sobre la Tierra.,aprobado,lfb oraciones
lfb_MLY_p010_s012,"Ukuemdzi go awantka shimurruandzina, dzibu ingui dukujshuindzinawin.","También formó las montañas, el mar y los ríos.",aprobado,lfb oraciones
lfb_MLY_p010_s013,¿Ukuemdzi ñi zhanekantka?,¿Y qué pasó después?,aprobado,lfb oraciones
lfb_MLY_p010_s014,"Jehovága guaka: “Iwa gawuʉnga ujta, tshiwa ingui kʉndzinawin”.","Jehová dijo: “Voy a hacer hierba, plantas y árboles”.",aprobado,lfb oraciones
lfb_MLY_p010_s015,"Memé nunkuame kangʉmamba jinumpana bʉgui zhama, kʉnzhiwandzina ingui shomandzinangua.","Así que la Tierra empezó a producir diferentes tipos de frutas, verduras y flores.",aprobado,lfb oraciones
lfb_MLY_p010_s016,"Ukuemdzi Jehovága go kʉ zhigawigandzina,wekumgandzina ingui dziramba zhanandzinangua ingui kʉ karga wʉrkumgandzina.","Jehová también hizo todas las clases de animales: los que vuelan, los que nadan y los que se arrastran.",aprobado,lfb oraciones
lfb_MLY_p010_s017,Go awantka zhigawiga tshitshijkumburru ingui tshujkuegandzinangua.,"Creó animales pequeños, como los conejos, y grandes, como los elefantes.",aprobado,lfb oraciones
lfb_MLY_p010_s018,¿Bima zhigawiga agʉñi mindunga?,¿Cuál es tu animal favorito?,aprobado,lfb oraciones
lfb_MLY_p010_s019,Ukuemdzi Jehovága kaia kʉskʉnangui ángel gontka: “Go ukuzhi shkandzina”.,"Entonces, Jehová le dijo al primer ángel: “Vamos a hacer al hombre”.",aprobado,lfb oraciones
lfb_MLY_p010_s020,Shkandzina zhigawigandzinaie nanún nantka.,Los seres humanos serían diferentes de los animales.,aprobado,lfb oraciones
lfb_MLY_p010_s021,"Ñingui tshijshangawʉnka, dzasheka nanʉnka zhintshijshimʉnka ingui Kunkujshinaga kashizha dzinekʉnka.","Podrían inventar cosas, hablar, reír y orar a Dios.",aprobado,lfb oraciones
,"Dumatshijtua
awʉnka nunkua kangʉma
ingui zhigawigandzinawin.",Cuidarían de la Tierra y los animales.,aprobado,lfb oraciones
,"¿Mʉgʉntsha nene kʉskʉnangui
Kunkujshinaga shka go awantka?","¿Sabes quién fue el primer
hombre?",aprobado,lfb oraciones
,Tua aunkurra.,Vamos a verlo.,aprobado,lfb oraciones
,Zhishizha:,Preguntas:,aprobado,lfb oraciones
,¿Nene Jehová nʉnka?,¿Quién es Jehová?,aprobado,lfb oraciones
,¿Ñi Jehová go awantka?,¿Qué cosas creó Jehová?,aprobado,lfb oraciones
lfb_MLY_p012_s001,Kunkujshinaga go kʉskʉnangui shkua terrua ingui shkua mena,Dios crea al primer hombre y a la primera mujer,aprobado,lfb oraciones
lfb_MLY_p012_s002,"Jehovága go ingui kangʉma zukuega, zhiganuka Edén.",Jehová plantó un jardín en un lugar llamado Edén.,aprobado,lfb oraciones
lfb_MLY_p012_s003,"Ima kangʉma zukuega bʉgui shoma kʉnʉnka nanantka, kʉndzinawin ingui zhigawigandzinawin.","Este jardín tenía muchas flores, árboles y animales.",aprobado,lfb oraciones
lfb_MLY_p012_s004,"Ukuemdzi Kunkujshinaga go kʉskʉnangui terrua, Adán.","Luego, Dios hizo al primer hombre, Adán.",aprobado,lfb oraciones
,"Tshuiwin gontka, ukuemdzi mʉnshuamba shui awantka.",Lo hizo con tierra y después le sopló en la nariz.,aprobado,lfb oraciones
lfb_MLY_p012_s005,¿Mʉgʉntsha ukuemdzi ñi zhanekantka?,¿Sabes qué pasó entonces?,aprobado,lfb oraciones
lfb_MLY_p012_s006,¡Mema terrua kuampana awantka!,¡El hombre empezó a vivir!,aprobado,lfb oraciones
lfb_MLY_p012_s007,Jehovága Adán kaia dumatua awʉnka mema kangʉma zukuega ingui zhigate awega zhigawigandzina.,Jehová le dijo a Adán que cuidara del jardín y que les pusiera nombre a todos los animales.,aprobado,lfb oraciones
lfb_MLY_p012_s008,Jehovága Adán kaia ñi bʉgui anzhʉnga nekʉnka.,Jehová le dio a Adán una orden muy importante.,aprobado,lfb oraciones
lfb_MLY_p012_s009,"Kaia awantka: “Ga mawazhʉnga kʉ kʉnzhiwandzina, shkuaki gón mʉnanazhʉnga, mema kʉnzhiwa bʉgui anzhʉnga nʉname.","Le dijo: “Puedes comer de todos los árboles menos de uno, que es muy especial.",aprobado,lfb oraciones
lfb_MLY_p012_s010,"Mema kʉnzhe kʉnzhiwa ga mawerru, wida mawʉnka”.","Si comes la fruta de ese árbol, morirás”.",aprobado,lfb oraciones
lfb_MLY_p012_s011,"Ukuemdzi, Jehovága guaka: “Iwa kʉngawʉnga shkua mena Adán angunekʉnka”.","Más tarde, Jehová dijo: “Voy a hacerle una ayudante a Adán”.",aprobado,lfb oraciones
lfb_MLY_p012_s012,"Jehovága Adán kʉwanshisha awantka, ingui kʉjkʉla awʉrrʉ awantka nanzhe manambamdzi shkua mena kʉngo awega.",Así que hizo que Adán se quedara bien dormido y usó una de sus costillas para hacerle una esposa.,aprobado,lfb oraciones
lfb_MLY_p013_s001,Zhiganuka Eva. Adán ingui Evawin minshangui kawandzina dzinanantka.,Se llamaba Eva. Adán y Eva fueron la primera familia.,aprobado,lfb oraciones
lfb_MLY_p013_s003,¿Inzhina amtantka Adán Eva tua ukuashkʉ?,¿Cómo se sintió Adán cuando vio a su esposa?,aprobado,lfb oraciones
lfb_MLY_p013_s004,Zen zhigunguangui guaka: “¡Tua ushi Jehovága go ingui kʉjkʉla ranzhe manambamdzi! ¡Iwa raie nʉnka awá!”.,Estaba tan contento que dijo: “¡Mira lo que Jehová ha creado con una de mis costillas! ¡Por fin hay alguien como yo!”.,aprobado,lfb oraciones
lfb_MLY_p013_s006,"Jehovága Adán Eva kaia bʉgui gʉmtshina maikʉnanʉnka kangʉmamba. Jehovága andunantka zen zhigaguazhi dzinukuega, zhintshijki iba dzinekega kangʉma agʉñi zukuega zhitunsha awega.",Jehová les dijo a Adán y Eva que tuvieran muchos hijos y llenaran la Tierra. Quería que fueran felices trabajando juntos para convertir laTierra en un paraíso.,aprobado,lfb oraciones
lfb_MLY_p013_s008,Kʉngui kangʉma zukuega nanʉnka nunkuá Edénie.,"Sería un hermoso parque, como el jardín de Edén.",aprobado,lfb oraciones
lfb_MLY_p013_s009,Ukuashkʉ memé nanuñí awantka.,Pero las cosas no salieron así.,aprobado,lfb oraciones
lfb_MLY_p013_s010,¿Inzhué nunkuame?,¿Por qué no?,aprobado,lfb oraciones
lfb_MLY_p013_s011,Tua aunkurra ʉndua capitulumba.,Lo veremos en el siguiente capítulo.,aprobado,lfb oraciones
lfb_MLY_p013_s012,Zhishizha: ¿Ñi iba Jehovága akawa awantka Adánga neka awega?,Preguntas: ¿Qué trabajo le dio Jehová a Adán?,aprobado,lfb oraciones
lfb_MLY_p013_s013,"Kunkujshinaga Adán Eva kaia dzingón nanega kʉnzhiwa shkua kʉnzhe, ¿Ñi kakinzhanʉnka dzazhintujkuñí awerru?","Dios les dijo a Adán y Eva que no comieran la fruta de un árbol, ¿qué les pasaría si desobedecían?",aprobado,lfb oraciones
lfb_MLY_p013_s014,"Génesis 1:27-31; 2:7-9, 15-23; Salmo 115:16; Mateo 19:4-6.","Génesis 1:27-31; 2:7-9, 15-23; Salmo 115:16; Mateo 19:4-6.",aprobado,lfb oraciones
lfb_MLY_p014_s001,¿Inzhué nunkuame Kunkujshinaga dziwa bʉgui nekʉn guashisha awantka shkandzina asisa awega?,¿Por qué destruyó Dios el mundo antiguo con un diluvio?,aprobado,lfb oraciones
lfb_MLY_p014_s002,"Kʉskʉnangui shka kuampana ukuashkʉ tshijkoshumpana awantka, koshama zumé nʉnka ingui azhi nʉnkawin.","Desde el principio de la historia humana, comenzó una lucha: la guerra entre el bien y el mal.",aprobado,lfb oraciones
lfb_MLY_p014_s003,"Nʉnka shka, Adán, Evaie ingui anzhʉngʉma Caínie dzinunkua azhi dzineka awantka.","Algunas personas, como Adán, Eva y su hijo Caín, eligieron ponerse del lado del mal.",aprobado,lfb oraciones
lfb_MLY_p014_s004,"Nʉnkarru zumé dzineka awantka, Abel ingui Noé dzineka ukuai.","Pero unos cuantos eligieron el lado del bien, como Abel y Noé.",aprobado,lfb oraciones
lfb_MLY_p014_s005,Bʉgui shkandzina azhi nʉnka zhintshijtuna ukuambarru Jehovága asisakuaga kʉnzhanantka.,La mayoría de la gente se hizo tan mala que Jehová tuvo que acabar con aquel mundo malvado.,aprobado,lfb oraciones
lfb_MLY_p014_s006,"Ima kʉnkuangʉma zhinzhomanzhemba shindzunkurra, ia Jehovága tua aunuka zumé nekʉnukurra kua azhi nekʉnukurra, naka buiengua mashún nantka azhi nʉnkaga uguminsha awega zumé nʉnka.","En esta sección, aprenderemos que Jehová ve de qué lado estamos y que él nunca dejará que el mal venza al bien.",aprobado,lfb oraciones
lfb_MLY_p015_s001,"˛ Koshka nanún nantkurra, azhi nʉnka nanún nantkurra ijkʉnushie ñi nanzhe shkandzinaie.","˛ Debemos ser pacíficos, no violentos como el Diablo y sus seguidores.",aprobado,lfb oraciones
lfb_MLY_p015_s003,"˛ Kunkujshina kʉzhintujkua aunkurrerru, Noé neka ukuai, awerru zen zhiguazhi kuazhá nukunkurra.","˛ Si escuchamos a Dios y le obedecemos, como hizo Noé, podremos vivir felices para siempre.",aprobado,lfb oraciones
lfb_MLY_p015_s004,˛ Jehovága kʉ tuka.,˛ Jehová lo ve todo.,aprobado,lfb oraciones
lfb_MLY_p015_s005,"Shka zumé nʉnkandzinaga zen zhigunshishka Kunkujshina, awashkʉ shka azhi nʉnkandzinagarru tshui zhiguanʉn guashishka.","Las personas buenas hacen feliz a Dios, pero las personas malas lo ponen triste.",aprobado,lfb oraciones
lfb_MLY_p016_s001,Adán Evanʉn Kunkujshina kʉzhintujkuñí dzawantka,Adán y Eva desobedecen a Dios,aprobado,lfb oraciones
lfb_MLY_p016_s002,"Indzui zhʉnguashkʉ, Eva naki nukuashkʉ, shkua guma ashe nawin.","Un día, mientras Eva estaba sola, una serpiente habló con ella.",aprobado,lfb oraciones
lfb_MLY_p016_s003,Ashizha: “¿Nʉnai Kunkujshinaga gan mainguashishún nʉnka kʉ kʉnzhiwa kʉndzinanzhe?”.,Le preguntó: “¿Es verdad que Dios no les deja comer de todos los árboles?”.,aprobado,lfb oraciones
lfb_MLY_p016_s004,"Evaga gʉgaso: “Ga awazhingurra kʉ kʉnzhiwa, awashkʉ shkuaki kʉnzhiwa kʉnzhe gón nanazhingurra. Ga aunkurrerru mema kʉnzhe kʉnzhiwa, wida aunkurra”.","Eva le respondió: “Podemos comer cualquier fruta, menos la de un árbol. Si comemos la de ese árbol, nos moriremos”.",aprobado,lfb oraciones
lfb_MLY_p016_s006,"Gumaga kaia: “Widún mʉnantkua. Ga maunkuerru, Kunkujshinaie mʉnantkua”.","La serpiente dijo: “No se van a morir. Si la comen, serán como Dios”.",aprobado,lfb oraciones
lfb_MLY_p016_s008,¿Mema nʉnai nanantka? Mema nʉnai nanuñí awantka.,¿Era eso verdad? No.,aprobado,lfb oraciones
lfb_MLY_p016_s010,"Kuisa nanantka, ukuashkʉ Evaga we uguana awantka.","Era una mentira, pero Eva se la creyó.",aprobado,lfb oraciones
lfb_MLY_p016_s011,"Mema kʉnzhiwa agʉñi tukuashkʉ, agʉñi ganegi amta awantka.","Cuanto más miraba aquella fruta, más quería comérsela.",aprobado,lfb oraciones
lfb_MLY_p016_s012,Memé nunkuame waga ga ukuemdzi Adángangua akawa.,Así que la probó y le dio también a Adán.,aprobado,lfb oraciones
lfb_MLY_p016_s013,"Naka gʉntsha nanantka dziwidʉnka Kunkujshina kʉzhindzintujkuñí dzawerru, ukuashkangua ga awantka.","Él sabía que iban a morir si desobedecían a Dios, pero de todas maneras comió.",aprobado,lfb oraciones
lfb_MLY_p016_s014,"Ukuemdzi, memandzuiangui, Jehová ashe Adán ingui Evanʉn.","Más tarde, ese mismo día, Jehová habló con Adán y Eva.",aprobado,lfb oraciones
lfb_MLY_p016_s015,"Ashizha inzhué nunkuame zhintujkuntkandzina dzinʉnka. Evaga guaka guma kʉnzhʉnga, ukuashkʉ Adánga guaka Eva kʉnzhʉnga.","Les preguntó por qué habían sido desobedientes. Eva le echó la culpa a la serpiente, y Adán culpó a Eva.",aprobado,lfb oraciones
lfb_MLY_p016_s017,"Adán Evawin Jehová kʉzhindzintujkuñí ukuatʉjka, atunsha awantka kangʉma zukuegakamdzi.","Como Adán y Eva habían desobedecido, Jehová los sacó del jardín.",aprobado,lfb oraciones
lfb_MLY_p016_s018,"Ukuemdzi, masha awantka ángelndzina ingui shkua sherra tshujkuega ge tua mʉjtakuagamba buiengua agʉñi dzimtún nanuai.","Además, puso ángeles y una espada de fuego a la entrada para que nunca más pudieran regresar.",aprobado,lfb oraciones
lfb_MLY_p016_s019,Jehovága guaka awantka ia shakuashishʉnka mema zhigasheka Evawin ashe ukua.,Jehová dijo que también castigaría al mentiroso que habló con Eva.,aprobado,lfb oraciones
lfb_MLY_p016_s020,Nʉnai kinki guma nanuñí awantka nawin ashe ukua. Jehovága gauñí awantka guma asheka.,La verdad es que no fue la serpiente la que habló con ella. Jehová no hizo serpientes que hablan.,aprobado,lfb oraciones
lfb_MLY_p016_s022,Mema nanantka shkua ángel wandua nʉnka guma ashaiʉn guashisha ukua. Eva dunshʉnegi amsi.,Fue un ángel malo el que hizo que la serpiente hablara. Quería engañar a Eva.,aprobado,lfb oraciones
lfb_MLY_p016_s024,"Mema ángel wandua nʉnka zhiganuka ijkʉnushi. Awemdzi, Jehovága asisa awʉnka ijkʉnushi.","A ese ángel se le llama Satanás, el Diablo. En el futuro, Jehová va a destruir a Satanás.",aprobado,lfb oraciones
lfb_MLY_p016_s026,Memé naka shka dunshi nainukún nantka ñingui wandua nʉnka neka awega.,Así él no seguirá engañando a la gente para que haga cosas malas.,aprobado,lfb oraciones
lfb_MLY_p018_s001,Kumatunguangui anzhʉduga guaga awantka,Se enoja tanto que mata a su hermano,aprobado,lfb oraciones
lfb_MLY_p018_s002,"Adán, Eva Edénkamdzi antshijtuna ukuemdzi bʉgui gʉmtshina kakʉnanantka.","Después que Adán y Eva salieron del jardín de Edén, tuvieron muchos hijos.",revisar,lfb oraciones
lfb_MLY_p018_s002,Kʉskʉnangui gʉmtshina kakʉnekantka zhiganuka Caín.,El primero se llamaba Caín.,revisar,lfb oraciones
,Nanzhe iba nanantka zhatunshi kʉnzhiwa ingui bʉgui zhama.,Su trabajo era cultivar frutas y verduras.,revisar,lfb oraciones
lfb_MLY_p018_s003,"Ingui moa gʉmtshina kakʉnekuarru zhiganuka Abel, memarru singʉna dumatuka nanantka.","El segundo hijo se llamaba Abel, y era pastor.",revisar,lfb oraciones
,Indzui zhʉnguashkʉ Caín Abelnʉn Jehovága ñingui bʉgui anzhʉnga dzakawa awantka.,"Un día, Caín y Abel le hicieron ofrendas a Jehová.",revisar,lfb oraciones
lfb_MLY_p018_s005,"Jehovága anduna awantka Abelga akawa ukua, ukuashkʉ Caínzhe andunuñí awantka, memé nunkuame Caín bʉgui kumatuna, Jehovága kaia: “Kumamitunantkangui nukuwerru ñingui wandua nʉnka mʉnekʉnka”.","A Jehová le gustó la ofrenda de Abel, pero no le gustó la de Caín. Por eso, Caín se enfadó mucho, y Jehová le dijo: “Si sigues enojado, al final harás algo malo”.",revisar,lfb oraciones
lfb_MLY_p018_s006,Ukuashkʉ Caín zhintujkuñí awantka.,Pero Caín no le hizo caso.,aprobado,lfb oraciones
lfb_MLY_p018_s007,We ñinguamka Caínga Abel kaia: “Naka ushi rawin kamkeka”.,"Más bien, Caín le dijo a Abel: “Ven conmigo al campo”.",aprobado,lfb oraciones
lfb_MLY_p018_s008,Ijkʉna mimi dzinukuashkʉ Caínga anzhʉduga guaga awantka ¿Ñi nekantka Jehová?,"Mientras estaban solos allí, Caín atacó a su hermano y lo mató.",aprobado,lfb oraciones
lfb_MLY_p018_s009,Caín shakuashisha,¿Qué hizo,revisar,lfb oraciones
lfb_MLY_p019_s001,ukuemdzi kʉwesha awantka nawʉrga nanzhe kawandzinambamdzi.,Jehová? Castigó a Caín mandándolo lejos de su familia.,revisar,lfb oraciones
lfb_MLY_p019_s002,Buiengua agʉñi zhitunún nanuai.,Nunca más podría volver.,aprobado,lfb oraciones
lfb_MLY_p019_s003,¿Ñi shindzigurra?,¿Qué aprendemos?,aprobado,lfb oraciones
lfb_MLY_p019_s004,"Ñingui nawiga ugungurrai naikatunún nanuanshkʉ, ñi mʉntuka kumanaituna awazhʉnga. Dzuia zhʉntshʉjki, agʉñi kuma naitunuwerru kua ʉndua kuma naitunantka naituwerru zhisameguma awazhʉngurra.","Si las cosas no salen como nosotros queremos, tal vez nos enojemos.Y, si sentimos cada vez más rabia o si los demás nos ven furiosos, debemos cambiar.",revisar,lfb oraciones
